,P_vivipara,G_brasiliensis,M_vittata,A_lacustris,A_intermedius
Algas,97.08,0.15,0,63.97,82.54
Microcustaceos,0,0.15,0,0,0.02
Moluscos,0,74.36,0,0,0
Trichoptera,0,20.24,0.05,0,4.98
Ephemeroptera,1.09,1.95,0,0,1.22
Odonata,0,0,0,0.11,0
Diptera,1.09,1.09,1.14,1.09,1.16
Hemiptera,0.36,0,0,0,0
Coleoptera,0,0,0,0,0.09
Peixes,0,0,0,0,0
Inseto_terrestre,0,0,0.11,0,0
Collembola,0,0,0,0,0
Dermaptera,0,0,0,0,0
Lepidoptera,0,0,0.27,0.04,0.05
Formicidae,0,0,3.68,0,0
Hymenoptera,0,0,5.35,0,0
Outros_invertebrados_terrestres,0,0,0,1.22,0
Vegetal,0.36,2.4,90.04,34.19,8.17
