"trabalho";"NODF";"NODF_p";"H2";"H2_p";"Q";"Q_p";"nsp";"link";"con";"dens"
1;-15.7021252299186;0.002;-9.10494922163533;0.002;0.243024000539762;0.83;8;21.4094488188976;0.466911764705882;13.0787401574803
2;-21.4063038921578;0.002;-5.57307227654197;0.002;0.950767408786298;0.338;13;24.0681003584229;0.596153846153846;16.6881720430108
3;-18.4057293171397;0.002;1.2175728373572;0.22;9.12380426117012;0.002;17;3.77777777777778;0.453781512605042;6.85185185185185
4;-3.48797820459794;0.008;3.12334529352877;0.004;0.143608715444917;0.85;13;1.77777777777778;0.173076923076923;2.5
5;-19.3373459280053;0.002;1.25361792515788;0.202;-0.532447969067585;0.736;9;5.75;0.761904761904762;6.47916666666667
6;-20.3483989427566;0.002;6.48036288424139;0.002;0.189940782210866;0.856;71;5.9874213836478;0.447887323943662;21.1729559748428
7;-9.33235402603693;0.002;-0.685564353161276;0.598;0.291744533082078;0.738;6;4.80952380952381;0.269230769230769;3.76190476190476
8;-16.8693552266357;0.002;4.3613173168574;0.002;-0.42350560091123;0.642;39;4.11111111111111;0.403846153846154;12.0079365079365
9;-15.0003473257583;0.002;0.00795102786567849;1;-0.0709270661613047;0.976;5;6.75757575757576;0.44;4.96969696969697
10;-13.2799769615231;0.002;-0.756965985309724;0.456;5.37303411207847;0.002;31;6.93865030674847;0.276740237691002;9.60736196319018
11;-21.2860898133405;0.002;0.153697938508575;0.888;-0.615919881375;0.608;9;12.6363636363636;0.611111111111111;9.36363636363636
12;-20.5540951236875;0.002;5.14815512725409;0.002;5.5377571689609;0.002;75;5.22064056939502;0.340606060606061;18.1921708185053
13;-15.3474103860514;0.002;3.23434392480805;0.002;-0.968835923375372;0.356;13;3.48648648648649;0.569230769230769;5.56756756756757
14;-22.1264602421736;0.002;-2.70902018390657;0.016;0.882003509897599;0.36;22;8.52;0.662878787878788;13.0114285714286
15;-16.7692591343194;0.002;3.37947484174959;0.002;3.03665927133007;0.008;15;5.14285714285714;0.583333333333333;7.6
16;-15.6467454125631;0.002;2.67349466228203;0.01;2.61801954428423;0.004;18;6.45263157894737;0.439814814814815;8.09473684210526
17;-20.7545151615975;0.002;-2.17216374536893;0.024;2.83839394951962;0.008;14;18.6792452830189;0.473214285714286;13.6509433962264
18;-15.8556362625603;0.002;-0.601456403807237;0.536;2.39930894046205;0.018;7;9;0.428571428571429;6.3
19;-11.381596469788;0.002;-2.92815251232267;0.004;4.57984877018676;0.002;11;8.575;0.269360269360269;6.3875
20;-15.93850498238;0.002;3.22727710669165;0.002;-0.773229767215591;0.432;32;5.15384615384615;0.451388888888889;11.5923076923077
21;-18.119586667901;0.002;-3.32625675429756;0.004;-2.00626144900155;0.056;7;15.42;0.680272108843537;10.37
22;-16.9325474560108;0.002;2.56642342031106;0.016;1.46806891104866;0.166;7;4.79310344827586;0.591836734693878;4.86206896551724
23;-18.5774639164953;0.002;1.04874449473635;0.29;-0.0614707756168962;0.946;10;8.01538461538462;0.541666666666667;7.26153846153846
24;-17.3769208291522;0.002;-2.15035689865228;0.032;2.17141502743052;0.032;17;10.1688311688312;0.532871972318339;10.7662337662338
25;-20.8744539876372;0.002;-1.44604710113564;0.152;0.613684209795527;0.504;15;11.1095890410959;0.463492063492064;10
26;-18.752842319732;0.002;1.1427841562212;0.238;3.05603296874216;0.012;20;5.85981308411215;0.594444444444444;10.0560747663551
27;-21.2409310081094;0.002;2.45063142275611;0.012;2.6047872018956;0.012;37;6.21182266009852;0.60960960960961;15.1674876847291
28;-21.9339059735501;0.002;-3.84693131678432;0.002;1.70600017573806;0.066;50;7.66666666666667;0.813333333333333;24.6502732240437
29;-20.4264243115529;0.002;-4.65013914084757;0.002;0.416104804035388;0.716;7;16.495145631068;0.525510204081633;10.6893203883495
30;-20.5697622542532;0.002;-3.12824932287072;0.004;0.135180195812833;0.888;15;5.63414634146341;0.546666666666667;9.02439024390244
31;-5.77051917678847;0.002;1.81501116949942;0.064;1.08374485726743;0.296;9;2.125;0.296296296296296;2.625
32;-19.9472823659165;0.002;5.17927324872857;0.002;6.61954396706784;0.002;66;6.27631578947368;0.418732782369146;19.1611842105263
33;-18.8044952881926;0.002;-10.0995210398761;0.002;2.40507683609275;0.016;11;30.8132295719844;0.40282131661442;18.4747081712062
34;-14.0741553566279;0.002;-4.40031597062792;0.002;-0.575384667395504;0.738;21;2.40909090909091;0.419047619047619;9.25
35;-14.2387553888319;0.002;1.36574355635066;0.164;3.57042646459661;0.002;20;7.36190476190476;0.328125;8.51428571428571
36;-19.646616930646;0.002;0.661550142892312;0.512;-1.11963103035375;0.42;6;5.53333333333333;0.625;5.06666666666667
37;-17.6715565967414;0.002;-2.15949590941943;0.04;2.14796170921066;0.026;31;10.1018518518519;0.258064516129032;11.9074074074074
38;-17.9512870818926;0.002;22.3159584154479;0.002;2.26429554792888;0.024;7;10.9090909090909;0.314285714285714;7.10606060606061
39;-5.16802717155847;0.004;0.0313182886219358;0.976;-0.702014153318199;0.516;6;3.84210526315789;0.316666666666667;3.42105263157895
40;-19.4657424316844;0.002;-0.357850704054809;0.722;-0.401749240367585;0.698;6;6.45945945945946;0.685185185185185;5.54054054054054
41;-18.0494842490762;0.002;3.71251232298119;0.002;0.77605108136646;0.434;28;3.77922077922078;0.34375;8.90909090909091
42;-16.4693340414576;0.002;-8.27236263119683;0.002;0.932065181643207;0.346;12;13.2307692307692;0.373563218390805;9.86153846153846
43;-21.1807521118189;0.002;6.6679177955638;0.002;3.12091787219253;0.006;99;4.30588235294118;0.490620490620491;29.1029411764706
44;-16.0197038322733;0.002;1.22977915632273;0.216;1.74396606410836;0.07;14;7.5979381443299;0.577380952380952;8.44329896907216
45;-21.2294533373264;0.002;-7.48654711949417;0.002;1.0218896513827;0.312;28;9.56470588235294;0.535714285714286;15.1764705882353
46;-15.7668238861336;0.002;22.3159584154479;0.002;1.78744668669315;0.06;16;11.8428571428571;0.397727272727273;9.76428571428571
47;-21.7415876914855;0.002;1.84574120882626;0.064;-0.106233962751221;0.904;15;5.31168831168831;0.855555555555556;9.19480519480519
48;-8.65960542296154;0.002;-0.106718266510398;0.91;1.76687744186173;0.066;9;5.63157894736842;0.383838383838384;5.42105263157895
49;-5.49974137093092;0.002;22.3159584154479;0.002;1.63419223512599;0.128;9;2.44444444444444;0.25;2.66666666666667
