lat,long
-15.93293611,-47.88398889
-15.71855556,-48.01383
-14.43666667,-48.58138889
-11.88804444,-52.22458056
-23.39648889,-51.85058056
-15.58,-52.30666667
-19.02480833,-40.22948056
-15.934,-56.03693
-18.22611944,-40.07563056
-2.127369444,-59.32765278
-25.16205556,-53.82947222
-3.082461111,-59.76745833
-23.83821667,-54.34895278
-23.25603333,-46.96125833
-25.36503333,-48.8321
-25.54614722,-53.29769722
-23.53645,-51.78305556
-25.07998611,-53.62424167
-22.59844,-52.24589
-21.2666,-44.059
-20.68528056,-53.54370556
-22.00349,-53.80565
-22.80222778,-45.4489
-22.51555556,-47.67063333
-23.32344722,-51.89033056
-12.16666667,-47.75
-9.433333333,-50.16666667
-11.78333333,-48.61666667
-23.31972222,-51.19638889
-23.63743,-45.81305
-21.30030556,-56.43547222
-9.235875,-56.942925
-28.70684444,-52.87337222
-3.562463889,-54.890275
-24.4166,-47.25
-23.36429167,-52.01890833
-20.79508611,-51.5146
-18.13875278,-40.02127778
-15.10316667,-49.44666667
-18.60309722,-51.95296389
-13.15580278,-49.16531389
-20.75,-49.33333333
-4.330366667,-49.56529167
-23.73333333,-45.85
-4.733127778,-62.15433889
-23.53343889,-52.01850556
-23.384725,-51.94698889
-20.576125,-47.78501389
-20.68496667,-56.77826667
