,H2,pastagem,agricultura,urbano,sp,uso
1,0.29,0,0,0,8,0
2,0.43,0,0,0,13,0
3,0.53,49.25839188,0,0,17,49.25839188
4,0.99,0,0,0,13,0
5,0.52,23.0741924,74.8313809,0,9,84.59353923
6,0.66,72.21810089,0,0,71,72.21810089
7,0.82,12.8113879,9.252669039,0,6,17.43772242
8,0.73,15.31703591,0,0,39,15.31703591
9,0.83,89.48374761,10.43977055,0,5,89.48374761
10,0.65,3.726469458,0,0,32,3.726469458
11,0.5,0,0,0,9,0
12,0.65,0,0,0,75,0
13,0.67,55.44905928,44.44444444,0,13,74.93787717
14,0.42,0,0,0,22,0
15,0.74,0,0,0,15,0
16,0.63,41.05662983,14.15745856,0,18,42.1961326
17,0.57,12.7675841,93.31039755,0,14,97.93577982
18,0.62,34.48911841,45.81335301,0,7,63.99852453
19,0.54,0,0,0,11,0
20,0.64,92.2020052,4.715930189,0,31,93.0560713
21,0.37,68.03571429,0,0,7,69.5
22,0.46,90.6935598,19.81599434,0,7,91.08280255
23,0.47,55.5472822,10.83395383,0,10,61.7274758
24,0.37,29.62677953,69.6806464,0,17,84.87879954
25,0.5,29.81530343,78.13795703,0,17,96.3060686
26,0.58,3.104637792,0,0,20,3.104637792
27,0.59,0,0,0,37,0
28,0.35,2.510621862,0,0,50,3.051371186
29,0.43,49.73319104,40.27036642,37.70900036,7,91.21309143
30,0.4,0,0,0,15,0
31,0.86,46.37514384,0,0,9,46.64365171
32,0.72,0,0,0,66,0
33,0.42,5.042016807,82.96409473,0,11,82.96409473
34,0.41,0,0,0,21,0
35,0.55,2.637444279,1.263001486,0,20,2.637444279
36,0.6,23.86201991,86.87766714,0,6,89.68705548
37,0.61,98.12002892,9.797541576,0,31,98.12002892
38,0.7,8.488694962,64.73621579,0,7,87.86195954
39,0.78,54.43743038,18.78945414,0,6,73.22688452
40,0.63,55.60917519,5.466149391,0,6,66.76037849
41,0.82,78.8909427,0,0,28,78.8909427
42,0.33,99.30609098,18.31148805,0,12,99.61449499
43,0.64,0,0,0,99,0
44,0.59,0.429352069,0.039032006,0,14,0.429352069
,,,,,,1.511198713
,,,,,,97.58664821
,,,,,,93.57623759
,,,,,,69.55390335
,,,,,,34.75328364
