,NODF,pastagem,agricultura,urbano,sp,lat,long,uso
1,-1.81353838,0,0,0,8,-15.93293611,-47.88398889,0
2,-2.56510263,0,0,0,13,-15.71855556,-48.01383,0
3,-1.9567099,49.25839188,0,0,17,-14.43666667,-48.58138889,49.25839188
4,0.58018025,0,0,0,13,-11.88804444,-52.22458056,0
5,-0.52076382,23.0741924,74.8313809,0,9,-23.39648889,-51.85058056,84.59353923
6,-7.40063738,72.21810089,0,0,71,-15.58,-52.30666667,72.21810089
7,-0.52156672,12.8113879,9.252669039,0,6,-19.02480833,-40.22948056,17.43772242
8,-3.0790796,15.31703591,0,0,39,-15.934,-56.03693,15.31703591
9,-1.15986742,89.48374761,10.43977055,0,5,-18.22611944,-40.07563056,89.48374761
10,-0.08619892,3.726469458,0,0,32,-2.127369444,-59.32765278,3.726469458
11,-1.13908976,0,0,0,9,-25.16205556,-53.82947222,0
12,-2.84690617,0,0,0,75,-3.082461111,-59.76745833,0
13,0.97992558,55.44905928,44.44444444,0,13,-23.83821667,-54.34895278,74.93787717
14,-1.48826874,0,0,0,22,-23.25603333,-46.96125833,0
15,0.75999116,0,0,0,15,-25.36503333,-48.8321,0
16,-3.81521791,41.05662983,14.15745856,0,18,-25.54614722,-53.29769722,42.1961326
17,-1.12451148,12.7675841,93.31039755,0,14,-23.53645,-51.78305556,97.93577982
18,0.16108157,34.48911841,45.81335301,0,7,-25.07998611,-53.62424167,63.99852453
19,0.63104118,0,0,0,11,-22.59844,-52.24589,0
20,-0.61484729,92.2020052,4.715930189,0,31,-21.2666,-44.059,93.0560713
21,-0.55915173,68.03571429,0,0,7,-20.68528056,-53.54370556,69.5
22,-0.64966888,90.6935598,19.81599434,0,7,-22.00349,-53.80565,91.08280255
23,-2.31233797,55.5472822,10.83395383,0,10,-22.80222778,-45.4489,61.7274758
24,-3.22117409,29.62677953,69.6806464,0,17,-22.51555556,-47.67063333,84.87879954
25,-0.91320733,29.81530343,78.13795703,0,17,-23.32344722,-51.89033056,96.3060686
26,-3.65684251,3.104637792,0,0,20,-12.16666667,-47.75,3.104637792
27,-1.34205099,0,0,0,37,-9.433333333,-50.16666667,0
28,-1.22189936,2.510621862,0,0,50,-11.78333333,-48.61666667,3.051371186
29,0.96965797,49.73319104,40.27036642,37.70900036,7,-23.31972222,-51.19638889,91.21309143
30,1.15289465,0,0,0,15,-23.63743,-45.81305,0
31,0.1309772,46.37514384,0,0,9,-21.30030556,-56.43547222,46.64365171
32,-0.74802645,0,0,0,66,-9.235875,-56.942925,0
33,0.09871129,5.042016807,82.96409473,0,11,-28.70684444,-52.87337222,82.96409473
34,0.2237125,0,0,0,21,-3.562463889,-54.890275,0
35,-0.58912434,2.637444279,1.263001486,0,20,-24.4166,-47.25,2.637444279
36,1.62161171,23.86201991,86.87766714,0,6,-23.36429167,-52.01890833,89.68705548
37,-0.43014453,98.12002892,9.797541576,0,31,-20.79508611,-51.5146,98.12002892
38,0.20591259,8.488694962,64.73621579,0,7,-18.13875278,-40.02127778,87.86195954
39,-0.23785104,54.43743038,18.78945414,0,6,-15.10316667,-49.44666667,73.22688452
40,-0.35899124,55.60917519,5.466149391,0,6,-18.60309722,-51.95296389,66.76037849
41,-3.30281712,78.8909427,0,0,28,-13.15580278,-49.16531389,78.8909427
42,-1.25955644,99.30609098,18.31148805,0,12,-20.75,-49.33333333,99.61449499
43,0.0823679,0,0,0,99,-4.330366667,-49.56529167,0
44,-4.52301166,0.429352069,0.039032006,0,14,-23.73333333,-45.85,0.429352069
45,-0.60715095,1.511198713,0,0,28,-4.733127778,-62.15433889,1.511198713
46,-0.55555659,5.329890321,96.93487904,0,16,-23.53343889,-52.01850556,97.58664821
47,-0.96639455,15.80258906,74.72028306,9.922555212,15,-23.384725,-51.94698889,93.57623759
48,0.85550913,11.56133829,57.99256506,0,9,-20.576125,-47.78501389,69.55390335
49,0.51817759,34.75328364,0,0,9,-20.68496667,-56.77826667,34.75328364
